a,b,c,d,SMILES
2297,0.823,0.585,4.743,CC(CCO)CC(=O)O
2299,0.696,0.525,4.109,CCC(=O)CONN(C)O
2300,0.749,0.295,4.696,CNOC(=N)CCC(=O)O
2302,0.653,0.482,5.518,CCCC(C)ONNO
2303,0.655,0.419,4.561,C=CC(C)CON
2305,0.699,0.543,4.733,CCC(O)C(C)C(=O)ON
2306,0.841,0.434,4.389,C#CCCCC(=O)O
2307,0.946,0.582,4.304,CCCCC(=O)O
2314,0.91,0.582,4.488,CC(=O)CCC(=O)O
2317,0.855,0.633,4.27,CCC(C)(C)CC(=O)O
2323,0.777,0.569,4.726,CC(CC=O)CC(=O)O
2325,0.76,0.452,5.241,C=C(CCC)C(=O)ON
2326,0.773,0.248,4.685,NNOCCC(=O)O
2330,0.785,0.474,5.117,C=C(CCCC)C(=O)ON
2331,0.757,0.484,4.287,CC#CCC(=O)O
2332,0.725,0.45,5.632,C=C(CCC#N)C(=O)ON
2334,0.761,0.541,4.712,C=C(C)C(N)CC(=O)O
2335,0.747,0.385,5.045,NOCC(N)C(=O)O
2338,0.779,0.369,4.304,CCCCC(=O)ONC(C)=N
2339,0.714,0.218,5.453,CC(=N)NOC(=O)CC(=O)CN
2341,0.672,0.272,4.538,CCC(C)CC(=O)ONC=NN
2342,0.716,0.352,5.59,CCCC(NN)C(=O)ON
2343,0.737,0.257,4.629,CC(=N)NOC(=O)CC(C)=O
2344,0.637,0.279,5.227,CCC(N)C(=O)ONC=N
2345,0.803,0.546,5.44,CCCC(=O)ONC
2347,0.71,0.541,4.597,CNOC(=O)CCC=CN
2349,0.609,0.54,4.847,C=CCC1CNOC1=O
2350,0.71,0.293,4.481,CC(NN)C(O)CC(=O)O
2351,0.787,0.643,4.867,CC(CCC#N)CC(=O)O
2352,0.751,0.393,4.567,C#CCC(=O)C(=O)O
2353,0.844,0.563,4.392,CC=CCCC(=O)O
2354,0.664,0.266,5.07,CCCC(O)ONN
2355,0.857,0.657,4.307,CCCC(C)(C)CC(=O)O
2356,0.708,0.573,4.86,CCCC(C=N)CC(=O)O
2360,0.824,0.605,4.632,CC(CCCO)CC(=O)O
2361,0.921,0.519,4.426,O=C(O)CCCCO
2362,0.627,0.495,4.781,CC1=NOC(O)C1C
2363,0.829,0.557,4.194,CCC(O)CC(=O)O
2365,0.825,0.47,4.344,O=C(O)CCC(O)CO
2370,0.727,0.566,4.691,CC1CCC(C(=O)O)O1
2377,0.952,0.567,4.409,CCCCCC(=O)O
2380,0.812,0.555,4.412,CCC(N)CC(=O)O
2382,0.811,0.563,4.267,C=C(CC)CC(=O)O
2383,0.778,0.578,4.923,CC(C)CC(=CN)C(=O)O
2385,0.842,0.586,4.235,C=C(CC)CCC(=O)O
2386,0.775,0.552,4.885,CCCC(=CN)C(=O)O
2387,0.81,0.612,4.485,CC=C(CC(C)C)C(=O)O
2388,0.839,0.563,4.291,C=C(CCC)C(=O)O
2393,0.7,0.381,5.339,CCC(=O)C(N)C(=O)ON
2394,0.714,0.459,4.923,CC=C(CCC=N)C(=O)O
2395,0.771,0.46,4.497,C=C(C)CC(=C)C(=O)O
2399,0.858,0.586,4.434,C=C(CCCC)C(=O)O
2404,0.842,0.555,4.447,CC(N)CCC(=O)O
2408,0.821,0.587,4.344,CCC(N)CCC(=O)O
2409,0.751,0.463,4.957,CC(=N)C(N)CC(=O)O
2419,0.753,0.334,5.571,N#CCCC(=NO)C(=O)O
2422,0.875,0.359,4.881,CCCCCC(=O)OO
2429,0.761,0.386,4.365,O=C(O)C#CCO
2430,0.81,0.492,4.543,NC(CO)CCCC(=O)O
2431,0.781,0.544,5.729,CCCCC(N)C(=O)ON
2434,0.887,0.433,4.359,CCCCC(=O)OCOC
2435,0.77,0.618,4.366,CCC(O)C(C)CC(=O)O
2440,0.747,0.539,5.412,CCCC(N)C(=O)ONC
2441,0.831,0.589,4.124,CCC(O)CCC(=O)O
2445,0.856,0.563,4.378,CCCC=CC(=O)O
2453,0.641,0.415,5.447,C=CC(C)C(N)C(=O)ON
2454,0.711,0.534,4.209,CCC(C)C#CC(=O)O
2455,0.762,0.547,5.331,CCCC(O)CC(=O)ON
2458,0.908,0.613,4.214,CC(=O)CCCC(=O)O
2459,0.863,0.657,4.379,CCC(C)(C)CCC(=O)O
2460,0.828,0.594,4.547,CCC(C)CCCO
2470,0.852,0.595,4.634,C=C(C)C(=O)CCC(=O)O
2484,0.879,0.443,4.336,O=CCCCCC(=O)O
2487,0.777,0.438,4.231,CC1CCOC(=O)C1
2497,0.832,0.656,4.458,CC(C)CC(C)CC(=O)O
2499,0.76,0.606,4.346,C=C(CC)C(=C)CC(=O)O
2519,0.852,0.631,4.281,CCC(C)CCC(=O)O
2526,0.82,0.582,4.35,CC(CN)CCC(=O)O
2541,0.746,0.571,4.795,C=C(CC)C(N)CC(=O)O
2547,0.652,0.381,5.678,CCCCC(O)ON(O)CN
2576,0.927,0.606,4.324,CC(C)CCC(=O)O
2603,0.745,0.459,5.003,CCCCC(=C=N)C(=O)O
2642,0.777,0.498,3.957,CCC1CCC(=O)OC1
2644,0.752,0.438,4.36,N=C=CCCCC(=O)O
2675,0.754,0.597,3.804,O=C(O)CC1=COCC1
2703,0.788,0.455,4.133,CCCCCON(C)O
2707,0.766,0.586,4.585,CC(=N)C(C)CCC(=O)O
2708,0.832,0.605,4.649,CC(CCO)CCC(=O)O
2718,0.853,0.582,4.432,C=CC(=O)CCCC(=O)O
2719,0.768,0.601,4.478,C#CCC(C)CCC(=O)O
2724,0.685,0.536,4.686,CC(CO)C(C)C(=O)ON
2735,0.713,0.475,4.352,NOC1CCCO1
2737,0.759,0.511,4.448,CCC#CCC(=O)O
2744,0.851,0.642,4.537,CCCCC(C)CC(=O)O
2764,0.791,0.6,4.564,CCC(C)CC(=O)C(=O)O
2773,0.872,0.544,4.589,CCCC(=O)C(=O)O
2775,0.938,0.52,4.265,CCCCC(=O)OC
2779,0.835,0.608,4.693,CCCC(O)CCC(=O)O
2781,0.799,0.596,4.458,C=CCC(C)CCC(=O)O
2782,0.695,0.559,4.949,CCC(C=N)CC(=O)O
2786,0.789,0.615,4.39,CC(C#N)CCC(=O)O
2791,0.79,0.606,4.54,C=C=C(C)CCCC(=O)O
2810,0.75,0.573,4.161,C=C(CCC(=O)O)C(C)O
2821,0.888,0.613,4.052,CCC(=O)CCC(=O)O
2825,0.832,0.587,4.446,C=C(CC(C)C)C(=O)O
2854,0.872,0.573,4.757,CCCC(=O)CC(=O)O
2861,0.717,0.528,4.511,N=C=CCCC(=O)O
2864,0.748,0.523,4.18,CC(=C=O)CC(=O)O
2865,0.85,0.606,4.324,CCCC(C)C(=O)O
2868,0.838,0.587,4.38,CC(N)CCCC(=O)O
2874,0.832,0.551,4.299,CC(C)=CCC(=O)O
2909,0.816,0.557,4.643,CCCC(O)C(=O)O
2910,0.889,0.619,4.143,CC(C)(C)CCC(=O)O
2922,0.821,0.587,4.736,CC(C)CC(O)C(=O)O
2924,0.78,0.479,4.675,C=C(CCC=CC)C(=O)O
2931,0.801,0.6,4.439,CCCC(C)C(=O)C(=O)O
2938,0.918,0.517,4.526,NCCCCC(=O)O
2940,0.782,0.438,3.729,CC1CCC(=O)OC1
2942,0.754,0.346,4.938,C=C(CCCC=N)C(=O)O
2961,0.863,0.563,4.31,C=C(C)CCC(=O)O
2964,0.756,0.596,4.456,C=CC(CCC)CC(=O)O
2965,0.845,0.555,4.971,CCCC(N)C(=O)O
2966,0.779,0.506,4.528,CC(O)C(O)CCC(=O)O
2970,0.78,0.449,5.185,CCCCC(N)C(=O)OO
2971,0.859,0.587,4.97,CCCCC(N)C(=O)O
2972,0.949,0.578,4.319,CCCCCCC(=O)O
2987,0.741,0.459,4.816,C=C(CC)CC(=N)C(=O)O
2988,0.799,0.596,4.529,C=CCCC(C)CC(=O)O
2989,0.779,0.619,4.596,CCC(C)(N)CCC(=O)O
2994,0.693,0.442,4.66,C=CC(C=O)CC(=O)O
2995,0.734,0.575,4.287,C#CC(C)CCC(=O)O
2996,0.741,0.601,4.469,C#CC(CC)CCC(=O)O
2997,0.742,0.459,4.513,C=C(C(=N)CCC)C(=O)O
