a,b,c,d,SMILES
6430,0.752,0.671,4.798,CCCC1CC(C(=O)O)CCN1
6431,0.669,0.685,5.187,CCCCC1OCC(N)CC1NC
6432,0.654,0.61,5.795,CCCC1OC(=O)C(N)CC1NC
6433,0.651,0.55,4.982,C=C1C(=O)OC(CCC)C(NC)C1C
6435,0.721,0.722,5.308,CC(C)CCC1CC(C(=O)O)=CCN1
6436,0.758,0.709,5.837,CC(C)CCC(C)(CCC(=O)O)N(C)C
6437,0.691,0.609,5.72,C=CC(C)(CC(=O)O)C(CCCC)NC
6438,0.677,0.62,5.496,CCC1C(O)CC(NC)CC1C(=O)O
6439,0.829,0.571,5.861,CCCCCC(CCC(=O)O)NC
6441,0.649,0.473,5.332,CCC1CCC(NC=N)CC1C(=O)O
6442,0.767,0.412,4.519,CCCCNC(C)(O)CCC(=O)O
6443,0.77,0.621,5.668,CCCCC(C)CC(CCC(=O)O)NC
6444,0.542,0.674,5.257,CNC12CCC(C(C(=O)O)C1)C2C
6445,0.681,0.701,5.348,CCC1C(=O)CC(NC)CC1C(=O)O
6446,0.53,0.649,4.861,CC(C)C1CC2CC(CO)=C1N2
6447,0.663,0.75,5.179,CC(C)C1CN(CO)C(C)(CCC(=O)O)C1
6448,0.68,0.751,5.23,CCC1CC(C)C(N(C)C)CC1CO
6449,0.569,0.674,4.927,CCC1C2CNC(C2)CC1C(=O)O
6450,0.666,0.723,5.42,CC(=O)C1(O)CN(C)C(C)(CCC(=O)O)C1
